question,answer,contexts,expect_unauthorized,refused,judge_ok,latency_ms,degraded,tokens
新员工如何领用电脑？,"

新员工入职时，IT部门会统一配发笔记本电脑和显示器 [1]。领用设备需在资产系统进行登记，并签字确认 [1]。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_考勤制度
",False,False,True,3718,False,228
办公设备坏了怎么报修？,"

办公设备故障时，应提交 IT 工单申请维修，IT 部门将在 4 小时内响应处理 [1]。若属人为损坏，需按照规定照价赔偿 [1]。  

（注：知识库未明确说明提交工单的具体途径或联系人，如需进一步操作细节，建议补充相关流程说明）","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
fin_费用报销制度
",False,False,True,6163,False,257
公司工作时间是怎么规定的？,"

公司标准工作时间为 9:00-18:00，午休 1 小时 [1]。该规定在《hr_考勤制度》中明确说明。","hr_考勤制度

---
hr_考勤制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_薪酬保密制度

---
it_设备管理制度
",True,False,False,5413,False,235
迟到会怎么处理？,"

根据《hr_考勤制度》中的规定，迟到处理方式如下：  
1. 每月允许 2 次 10 分钟内的弹性迟到；  
2. 超过 30 分钟按半天事假计 [1]。  

其他片段未提及迟到相关处理细则。","hr_考勤制度

---
hr_考勤制度

---
hr_薪酬保密制度

---
it_设备管理制度

---
fin_费用报销制度

---
fin_费用报销制度
",True,False,False,8152,False,304
薪酬可以互相打听吗？,"

根据《hr_薪酬保密制度》规定，员工薪酬信息属于公司机密，明确禁止互相打探、透露薪酬信息 [1]。该制度强调薪酬调整结果仅由HR与直属负责人沟通，违反保密规定将面临警告直至解除劳动合同的处理。因此，薪酬信息不得随意打听或传播。","hr_薪酬保密制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
it_设备管理制度

---
fin_费用报销制度
",True,False,False,4615,False,295
费用报销有没有时间限制？,"

根据《fin_费用报销制度》的规定，费用报销存在明确的时间限制：费用发生后应在 **5 个工作日内** 提交报销单 [1]。该制度未提及例外情况或延长时限的条件。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度
",True,False,False,5511,False,258
餐费报销需要注意什么？,"

根据知识库信息，餐费报销需注意以下事项：  
1. **发票要求**：必须提供增值税发票原件，且发票抬头与税号需正确，同时需在发票上注明事由及参与人员名单 [1]。  
2. **报销时限**：费用发生后需在 **5个工作日内** 提交报销单 [2]。  

其他费用报销规则（如审批层级）未在片段中明确提及餐费的具体要求，故无需额外说明 [6]。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",True,False,False,7442,False,326
5000 元以上的费用由谁审批？,"

根据《fin_费用报销制度》中的审批层级规定，5000元以上的费用需由总经理审批 [1]。","fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度
",True,False,False,6617,False,263
访客网络密码是多少？,"

知识片段中未提及访客网络密码的具体内容，仅说明访客网密码每月更换一次 [1]。由于缺乏具体密码信息，无法直接提供密码数值。建议通过企业内部渠道（如IT部门或资产系统）获取最新密码。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
it_设备管理制度

---
hr_考勤制度
",False,False,True,5538,False,246
请假三天需要谁批准？,"

根据《hr_考勤制度》规定，请假3天以上需部门总监审批 [1]。","hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",True,False,False,3534,False,251
年假有几天？,"

知识片段中未提及年假的具体天数信息 [1][2][3][4][5][6]。建议查阅公司员工手册或咨询人力资源部门获取年假政策详情。","hr_考勤制度

---
hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度

---
hr_考勤制度

---
hr_薪酬保密制度
",False,False,False,5307,False,255
股票代码是什么？,"

根据提供的知识片段，未提及任何关于股票代码的信息。上述内容仅包含费用报销制度、薪酬保密制度、考勤制度及IT设备管理制度等内部管理规定，未涉及企业股票代码相关的内容 [1][2][3][4][5][6]。建议查阅公司官方披露的财务报告或证券交易所公告获取股票代码信息。","fin_费用报销制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_考勤制度

---
it_设备管理制度
",False,False,False,4968,False,289
