question,answer,contexts,expect_unauthorized,refused,judge_ok,latency_ms,degraded,tokens
新员工如何领用电脑？,"

新员工入职时，IT部门会统一配发笔记本电脑和显示器各一台 [1]。领用设备时需在资产系统进行登记并签字确认 [1]。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_考勤制度
",False,False,True,5455,False,298
办公设备坏了怎么报修？,"

办公设备故障时，需提交 IT 工单申请维修，IT 部门将在 4 小时内响应处理 [1]。若为人为损坏，需按制度照价赔偿 [1]。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
fin_费用报销制度
",False,False,True,5722,False,300
公司工作时间是怎么规定的？,"

公司标准工作时间为 9:00-18:00，午休 1 小时 [1]。","hr_考勤制度

---
hr_考勤制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_薪酬保密制度

---
it_设备管理制度
",False,False,True,4948,False,293
迟到会怎么处理？,"

知识库中暂未找到与该问题相关的资料，建议补充相关文档或换个问法。",,False,True,True,8019,False,131
薪酬可以互相打听吗？,"

根据《hr_薪酬保密制度》规定，员工薪酬信息属于公司机密，禁止互相打探、透露 [1]。","hr_薪酬保密制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
it_设备管理制度

---
fin_费用报销制度
",False,False,True,4449,False,328
费用报销有没有时间限制？,"

根据《fin_费用报销制度》中的规定，费用发生后应在 5 个工作日内提交报销单 [1]。这表明费用报销存在明确的时间限制。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度
",False,False,True,4858,False,316
餐费报销需要注意什么？,"

根据知识库资料，餐费报销需注意以下事项：  
1. 必须提供增值税发票原件，且发票抬头与税号需正确 [1]。  
2. 餐费报销需注明具体事由及参与人员名单 [1]。  
3. 费用发生后应在 5 个工作日内提交报销单 [2]。  

以上为相关要求，其他未提及的细节暂未在知识库中找到。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",False,False,True,7629,False,379
5000 元以上的费用由谁审批？,"

根据《fin_费用报销制度》中的审批层级规定，5000元以上的费用由总经理审批 [1]。","fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度
",False,False,True,10449,False,331
访客网络密码是多少？,"

知识库中暂未找到与该问题相关的资料，建议补充相关文档或换个问法。[1]","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
it_设备管理制度

---
hr_考勤制度
",False,True,True,5617,False,286
请假三天需要谁批准？,"

根据《hr_考勤制度》中的请假流程规定，请假3天以上需部门总监审批 [1]。","hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",False,False,True,4401,False,322
年假有几天？,"

知识库中暂未找到与该问题相关的资料，建议补充相关文档或换个问法。",,False,True,True,5557,False,130
股票代码是什么？,"

知识库中暂未找到与该问题相关的资料，建议补充相关文档或换个问法。",,False,True,True,5319,False,131
