question,answer,contexts,expect_unauthorized,refused,judge_ok,latency_ms,degraded,tokens
新员工如何领用电脑？,"

新员工入职时，IT部门会统一配发笔记本电脑和显示器 [1]。领用设备时需在资产系统进行登记，并签字确认 [1]。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_考勤制度
",False,False,True,5394,False,229
办公设备坏了怎么报修？,"

办公设备故障需提交 IT 工单报修，IT 部门将在 4 小时内响应处理 [1]。若属人为损坏，需按设备价值进行赔偿 [1]。  
（注：知识片段未明确说明工单提交的具体渠道或操作方式，如需进一步细节可补充查询。）","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
fin_费用报销制度
",False,False,True,6732,False,253
公司工作时间是怎么规定的？,"

公司标准工作时间为 9:00-18:00，午休 1 小时 [1]。该规定在《hr_考勤制度》中明确说明。","hr_考勤制度

---
hr_考勤制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_薪酬保密制度

---
it_设备管理制度
",False,False,True,5568,False,235
迟到会怎么处理？,"

根据知识库内容，迟到的处理措施如下：

1. **一般情况**：员工需按时上下班，若迟到或早退未提前报备，将扣除当日工资 [1]。

2. **三次迟到处理**：
   - 连续三次迟到视为旷工，除扣除工资外，还将扣除当月奖金 [2]；
   - 若情节严重，可能面临解除劳动合同的风险 [2]。

3. **超过一小时迟到**：迟到超过1小时按旷工处理，除扣除工资和奖金外，严重者可能被解雇 [3]。

4. **更严重情形**：迟到三次以上或超过一小时，公司可直接解除合同 [4]。

**注意**：以上措施均基于未提前报备的情况。若员工能提前报备并获批准，可能避免部分处罚 [1]。",,False,False,True,12516,False,194
薪酬可以互相打听吗？,"

根据《hr_薪酬保密制度》规定，员工薪酬信息属于公司机密，明确禁止互相打探、透露薪酬信息 [1]。违反该保密规定者，公司将视情节严重程度给予警告直至解除劳动合同的处理。因此，薪酬信息不得随意打听或传播。","hr_薪酬保密制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
it_设备管理制度

---
fin_费用报销制度
",False,False,True,4935,False,289
费用报销有没有时间限制？,"

根据《fin_费用报销制度》的规定，费用报销存在明确的时间限制：费用发生后应在 **5 个工作日内** 提交报销单 [1]。该制度未提及例外情况，因此需严格遵守此时限要求。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度
",False,False,True,5966,False,261
餐费报销需要注意什么？,"

根据知识片段，餐费报销需要注意以下事项：  
1. **发票要求**：必须提供增值税发票原件，且发票抬头与税号需正确；同时需在发票上注明事由及参与人员名单 [1]。  
2. **报销时限**：费用发生后应在 **5 个工作日内** 提交报销单 [2]。  

若涉及金额超过 500 元，还需根据审批层级提交相应负责人审批 [6]。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",False,False,True,9137,False,322
5000 元以上的费用由谁审批？,"

根据《fin_费用报销制度》中的审批层级规定，5000元以上的费用需由总经理审批 [1]。","fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度
",False,False,True,4740,False,263
访客网络密码是多少？,"

知识片段中未提及访客网络密码的具体内容，仅说明访客网密码每月更换一次 [1]。由于密码属于敏感信息且定期更新，无法在现有资料中提供具体数值。建议通过企业内部渠道（如IT部门或资产系统）获取最新密码信息。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
it_设备管理制度

---
hr_考勤制度
",False,False,True,5356,False,251
请假三天需要谁批准？,"

根据《hr_考勤制度》中的请假流程规定，请假3天以上需部门总监审批 [1]。","hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",False,False,True,4152,False,254
年假有几天？,"

根据现有知识片段，年假天数需结合员工工作年限确定，具体为：工作满1年但不满10年的，年假10天；满10年但不满20年的，年假15天；满20年的，年假20天 [1]。但需注意，该规定需参照具体政策文件执行，不同企业或地区可能存在差异 [3]。若需精确天数，建议咨询所在单位的人力资源部门以获取最新政策 [3]。",,False,False,False,8925,False,123
股票代码是什么？,"

根据提供的知识片段，未包含与“股票代码”相关的定义或解释。知识片段主要涉及企业知识库的建立目的、更新机制、引用规范及回答原则等内容 [1][2][3][4][5]。若需了解股票代码的定义，建议提供更具体的背景信息或明确提问方向。",,False,False,False,5199,False,104
