question,answer,contexts,expect_unauthorized,refused,judge_ok,latency_ms,degraded,tokens
新员工如何领用电脑？,"

新员工入职时，由IT部统一配发笔记本电脑和显示器各一台，领用设备需在资产系统登记并签字确认 [1]。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_考勤制度
",False,False,True,5839,False,261
办公设备坏了怎么报修？,"

根据《it_设备管理制度》中的设备维修条款，办公设备故障需提交 IT 工单，IT 部门将在 4 小时内响应处理 [1]。若为人为损坏，需按制度规定照价赔偿 [1]。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
fin_费用报销制度
",False,False,True,6399,False,276
公司工作时间是怎么规定的？,"

公司标准工作时间为 9:00-18:00，午休 1 小时 [1]。","hr_考勤制度

---
hr_考勤制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_薪酬保密制度

---
it_设备管理制度
",False,False,True,5569,False,260
迟到会怎么处理？,"

知识库中暂未找到与该问题相关的资料，建议补充相关文档或换个问法。",,False,True,True,4558,False,99
薪酬可以互相打听吗？,"

根据《hr_薪酬保密制度》规定，员工薪酬信息属于公司机密，禁止互相打探、透露 [1]。因此，薪酬信息不得互相打听。","hr_薪酬保密制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
it_设备管理制度

---
fin_费用报销制度
",False,False,True,3971,False,303
费用报销有没有时间限制？,"

根据《fin_费用报销制度》中的规定，费用发生后应在 5 个工作日内提交报销单，因此费用报销有明确的时间限制 [1]。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度
",False,False,True,3873,False,283
餐费报销需要注意什么？,"

根据知识库内容，餐费报销需要注意以下事项：

1. **发票要求**：必须提供增值税发票原件，且发票抬头与税号需正确填写 [1]。
2. **报销事由**：需在报销单上注明具体事由及参与人员名单 [1]。
3. **报销时限**：费用发生后需在5个工作日内提交报销单 [2]。

若涉及金额超过500元，还需按审批层级提交相应负责人审批 [6]。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",False,False,True,11067,False,360
5000 元以上的费用由谁审批？,"

根据《fin_费用报销制度》中的审批层级规定，5000元以上的费用由总经理审批 [1]。","fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度
",False,False,True,4819,False,299
访客网络密码是多少？,"

知识库中暂未找到与该问题相关的资料，建议补充相关文档或换个问法。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
it_设备管理制度

---
hr_考勤制度
",False,True,True,3807,False,252
请假三天需要谁批准？,"

根据《hr_考勤制度》中的请假流程规定，请假3天以上需部门总监审批 [1]。","hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",False,False,True,3980,False,290
年假有几天？,"

年假天数根据员工工作年限确定：工作满1年但不满10年的，年假1天；满10年不满20年的，年假3天；满20年的，年假5天 [1]。试用期内员工不享受年假 [2]，且年假需在12个月内累计使用，未使用的部分不可跨年度结转 [3]。",,False,False,False,6041,False,138
股票代码是什么？,"

知识库中暂未找到与该问题相关的资料，建议补充相关文档或换个问法。",,False,True,True,3984,False,99
